theta2,intensity,time
13.62,1622.0,1.0
13.64,1543.0,1.0
13.66,1616.0,1.0
13.68,1640.0,1.0
13.7,1599.0,1.0
13.72,1591.0,1.0
13.74,1507.0,1.0
13.76,1539.0,1.0
13.78,1621.0,1.0
13.8,1611.0,1.0
13.82,1511.0,1.0
13.84,1571.0,1.0
13.86,1543.0,1.0
13.88,1557.0,1.0
13.9,1541.0,1.0
13.92,1608.0,1.0
13.94,1513.0,1.0
13.96,1507.0,1.0
13.98,1508.0,1.0
14.0,1489.0,1.0
14.02,1500.0,1.0
14.04,1509.0,1.0
14.06,1468.0,1.0
14.08,1469.0,1.0
14.1,1541.0,1.0
14.12,1461.0,1.0
14.14,1501.0,1.0
14.16,1526.0,1.0
14.18,1504.0,1.0
14.2,1460.0,1.0
14.22,1531.0,1.0
14.24,1496.0,1.0
14.26,1487.0,1.0
14.28,1453.0,1.0
14.3,1499.0,1.0
14.32,1534.0,1.0
14.34,1441.0,1.0
14.36,1564.0,1.0
14.38,1380.0,1.0
14.4,1436.0,1.0
14.42,1491.0,1.0
14.44,1409.0,1.0
14.46,1436.0,1.0
14.48,1388.0,1.0
14.5,1354.0,1.0
14.52,1452.0,1.0
14.54,1410.0,1.0
14.56,1481.0,1.0
14.58,1439.0,1.0
14.6,1447.0,1.0
14.62,1445.0,1.0
14.64,1370.0,1.0
14.66,1426.0,1.0
14.68,1411.0,1.0
14.7,1409.0,1.0
14.72,1406.0,1.0
14.74,1353.0,1.0
14.76,1404.0,1.0
14.78,1382.0,1.0
14.8,1359.0,1.0
14.82,1393.0,1.0
14.84,1371.0,1.0
14.86,1364.0,1.0
14.88,1366.0,1.0
14.9,1388.0,1.0
14.92,1361.0,1.0
14.94,1332.0,1.0
14.96,1373.0,1.0
14.98,1406.0,1.0
15.0,1323.0,1.0
15.02,1354.0,1.0
15.04,1353.0,1.0
15.06,1405.0,1.0
15.08,1347.0,1.0
15.1,1358.0,1.0
15.12,1302.0,1.0
15.14,1340.0,1.0
15.16,1328.0,1.0
15.18,1343.0,1.0
15.2,1309.0,1.0
15.22,1395.0,1.0
15.24,1313.0,1.0
15.26,1320.0,1.0
15.28,1244.0,1.0
15.3,1282.0,1.0
15.32,1218.0,1.0
15.34,1346.0,1.0
15.36,1282.0,1.0
15.38,1205.0,1.0
15.4,1257.0,1.0
15.42,1316.0,1.0
15.44,1313.0,1.0
15.46,1285.0,1.0
15.48,1283.0,1.0
15.5,1349.0,1.0
15.52,1297.0,1.0
15.54,1286.0,1.0
15.56,1240.0,1.0
15.58,1246.0,1.0
15.6,1185.0,1.0
15.62,1318.0,1.0
15.64,1307.0,1.0
15.66,1297.0,1.0
15.68,1249.0,1.0
15.7,1244.0,1.0
15.72,1223.0,1.0
15.74,1316.0,1.0
15.76,1357.0,1.0
15.78,1311.0,1.0
15.8,1253.0,1.0
15.82,1261.0,1.0
15.84,1184.0,1.0
15.86,1247.0,1.0
15.88,1252.0,1.0
15.9,1277.0,1.0
15.92,1278.0,1.0
15.94,1286.0,1.0
15.96,1240.0,1.0
15.98,1270.0,1.0
16.0,1295.0,1.0
16.02,1258.0,1.0
16.04,1266.0,1.0
16.06,1224.0,1.0
16.08,1258.0,1.0
16.1,1190.0,1.0
16.12,1199.0,1.0
16.14,1242.0,1.0
16.16,1150.0,1.0
16.18,1191.0,1.0
16.2,1237.0,1.0
16.22,1193.0,1.0
16.24,1243.0,1.0
16.26,1177.0,1.0
